postal_code,address,building_name,building_function,latitude,longitude
179803,"1 COLEMAN STREET, SINGAPORE 179803",THE ADELPHI,Mixed Development,,
228218,"15 SCOTTS ROAD, SINGAPORE 228218",THONG TECK BUILDING,Office,,
48946,"138 MARKET STREET, SINGAPORE 048946",CAPITAGREEN,Office,,
238259,"90 ROBERTSON QUAY, SINGAPORE 238259",UP@ROBERTSON QUAY,Hotel,,
178880,"1 PARLIAMENT PLACE, SINGAPORE 178880",PARLIAMENT HOUSE COMPLEX,Office,,
419715,"80 CHANGI ROAD, SINGAPORE 419715",CENTROPOD @ CHANGI,Office,,
680309,"309 CHOA CHU KANG AVENUE 4, SINGAPORE 680309",CHOA CHU KANG CENTRE,Office,,
368125,"401 MACPHERSON ROAD, SINGAPORE 368125",MACPHERSON MALL,Mixed Development,,
437157,"11 TANJONG KATONG ROAD, SINGAPORE 437157",KINEX,Retail,,
238858,"277 ORCHARD ROAD, SINGAPORE 238858",ORCHARD GATEWAY,Mixed Development,,
179097,"109 NORTH BRIDGE ROAD, SINGAPORE 179097",FUNAN,Mixed Development,,
400845,"845 GEYLANG ROAD, SINGAPORE 400845",TANJONG KATONG COMPLEX,Retail,,
608526,"2 VENTURE DRIVE, SINGAPORE 608526",VISION EXCHANGE,Office,,
199018,"200 JALAN SULTAN, SINGAPORE 199018",TEXTILE CENTRE,Retail,,
